danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.959,0.47,0,-11.53,1,0.166,0.358,0.0,0.0806,0.964,129.995,4
0.691,0.84,11,-4.579,1,0.289,0.216,7.1e-05,0.102,0.476,145.998,4
0.681,0.659,9,-6.405,1,0.268,0.000856,8.17e-06,0.11,0.225,156.004,4
0.541,0.424,9,-10.649,1,0.0361,0.113,3.42e-05,0.0435,0.299,120.007,4
0.578,0.448,4,-8.639,1,0.0258,0.129,0.0,0.0712,0.17,136.049,4
0.738,0.87,10,-5.939,1,0.0434,0.151,0.0,0.257,0.742,111.961,4
0.6,0.251,4,-7.708,0,0.0323,0.885,4.79e-05,0.118,0.123,147.7,3
0.761,0.404,2,-8.765,1,0.0383,0.36,0.0984,0.137,0.732,110.219,4
0.702,0.628,7,-7.995,1,0.0435,0.47,2.72e-06,0.0948,0.595,109.754,4
0.55,0.376,2,-11.419,0,0.0286,0.687,0.0,0.108,0.307,80.494,4
0.608,0.534,0,-8.49,0,0.0346,0.224,0.0,0.0951,0.572,81.595,4
0.425,0.927,0,-3.866,1,0.0708,0.000419,0.0,0.348,0.552,159.899,4
0.469,0.928,4,-4.644,0,0.0534,0.00011,0.0,0.112,0.57,172.03,4
0.688,0.622,9,-5.398,1,0.0325,0.462,6.72e-06,0.137,0.611,115.026,4
0.519,0.634,4,-6.61,1,0.0398,0.37,0.0,0.302,0.273,159.869,4
0.681,0.664,4,-8.73,1,0.031,0.117,1.93e-05,0.232,0.788,120.18,4
0.626,0.684,0,-8.096,1,0.0295,0.219,0.0,0.0908,0.718,120.375,4
0.702,0.868,0,-8.361,1,0.0398,0.235,4.45e-05,0.19,0.876,135.048,4
0.451,0.51,0,-4.727,1,0.0266,0.0126,0.0,0.271,0.309,145.944,4
0.451,0.51,0,-4.727,1,0.0266,0.0126,0.0,0.271,0.309,145.944,4
0.416,0.782,0,-5.456,1,0.0485,0.336,3.16e-05,0.396,0.612,95.389,4
0.704,0.917,9,-7.661,1,0.102,0.0466,0.000248,0.0715,0.948,170.018,4
0.569,0.838,11,-5.584,0,0.0509,0.066,2.46e-06,0.331,0.889,167.459,4
0.624,0.833,0,-6.65,1,0.0344,0.0834,0.0011,0.145,0.953,79.993,4
0.531,0.929,11,-5.338,0,0.0438,0.00346,0.000787,0.169,0.889,159.958,4
0.497,0.53,4,-5.976,1,0.031,0.00793,0.0,0.392,0.278,134.968,4
0.645,0.568,9,-5.921,1,0.0259,0.491,0.0,0.117,0.732,109.988,4
0.509,0.924,9,-4.298,1,0.0312,0.0349,0.00306,0.343,0.647,138.015,4
0.506,0.595,7,-6.735,1,0.0326,0.479,0.0,0.088,0.39,139.544,4
0.482,0.909,9,-6.464,0,0.0607,0.00417,0.0,0.0928,0.768,94.877,4
0.497,0.796,2,-4.195,1,0.0518,0.00836,0.487,0.0851,0.722,153.881,4
0.396,0.84,10,-5.88,0,0.0445,0.000527,0.0222,0.12,0.389,121.097,4
0.499,0.653,10,-6.331,1,0.0372,0.00901,0.00259,0.181,0.19,137.913,4
0.591,0.767,11,-3.388,0,0.0521,0.125,0.000187,0.286,0.775,127.99,4
0.275,0.65,7,-3.941,1,0.0322,0.411,0.000484,0.373,0.199,129.542,4
0.538,0.546,4,-8.815,1,0.0301,0.0892,6.57e-05,0.0755,0.125,119.999,4
0.452,0.875,4,-4.656,1,0.034,7e-05,0.0,0.131,0.565,130.046,4
0.504,0.43,7,-8.823,1,0.0362,0.556,0.000521,0.115,0.411,139.984,4
0.723,0.422,6,-7.276,0,0.125,0.153,0.743,0.177,0.54,94.044,4
0.764,0.185,7,-14.408,0,0.0489,0.918,0.926,0.118,0.378,69.972,4
0.641,0.329,4,-10.337,1,0.0625,0.809,0.835,0.105,0.0608,122.95,3
0.63,0.501,1,-13.557,0,0.079,0.799,0.393,0.652,0.734,93.434,4
0.553,0.531,8,-9.049,0,0.028,0.605,0.0722,0.0899,0.699,100.02,4
0.653,0.295,5,-9.823,0,0.0448,0.259,0.645,0.107,0.234,180.008,4
0.74,0.346,6,-16.167,0,0.167,0.244,0.836,0.11,0.941,82.984,4
0.656,0.586,8,-8.431,1,0.0738,0.113,0.881,0.225,0.516,75.029,4
0.648,0.582,10,-9.687,1,0.0464,0.604,0.253,0.111,0.361,144.998,4
0.75,0.984,7,-4.933,0,0.078,0.295,0.373,0.163,0.767,111.002,4
0.932,0.346,4,-9.577,0,0.0588,0.113,0.574,0.083,0.472,130.042,4
0.696,0.44,3,-9.777,0,0.206,0.252,0.466,0.118,0.507,87.652,4
0.659,0.648,8,-6.984,1,0.0709,0.725,0.0,0.204,0.782,129.896,3
0.279,0.454,2,-7.733,1,0.0316,0.395,0.0,0.198,0.216,150.661,4
